                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.099,                 9.1525,                0.69663,                 4.6792,                 4.1376,                 0.0011,                0.42813,                0.02717,                0.00769,                0.00029,                0.08333,                0.00043,                  8e-05,                 2.9869,                 8.5931,                0.66776,                 4.6652,                 3.9306,             0.00033038,             0.00033038,             0.00033038
                      2,                 2.9226,                 8.3309,                0.56024,                  4.216,                 3.5518,                0.89008,                0.04514,                0.05598,                0.02251,                0.87208,                0.02431,                0.01521,                0.00395,                  2.725,                 7.9791,                0.46629,                 5.1174,                 3.4499,             0.00059801,             0.00059801,             0.00059801
                      3,                 2.6492,                 7.9627,                0.40988,                  3.839,                   3.09,                0.78695,                 0.1541,                0.13121,                0.04519,                0.73635,                0.07986,                0.04679,                0.01966,                 2.4514,                 6.8771,                0.27172,                 3.7803,                 3.1597,             0.00079963,             0.00079963,             0.00079963
                      4,                 2.5145,                 7.5101,                  0.329,                 3.4585,                  2.925,                0.29252,                0.29143,                0.21865,                 0.1013,                 0.8844,                0.07639,                0.05801,                0.02761,                 2.2174,                 6.6161,                0.21653,                 3.0863,                 2.7144,               0.000703,               0.000703,               0.000703
                      5,                 2.3808,                 7.0452,                0.27094,                 3.0819,                 2.7721,                 0.6753,                0.24748,                0.26959,                0.12567,                0.67422,                0.10466,                0.12036,                0.04686,                 2.0579,                 5.9135,                0.15536,                 3.2493,                 2.6096,               0.000604,               0.000604,               0.000604
                      6,                 2.2635,                  6.544,                0.22471,                 2.7755,                 2.6769,                0.36711,                0.34603,                0.29088,                0.14736,                0.25738,                0.15833,                0.10115,                 0.0469,                 1.9548,                 5.5196,                0.13993,                  2.616,                 2.5443,               0.000505,               0.000505,               0.000505
                      7,                 2.1598,                  6.114,                0.21571,                  2.528,                 2.5875,                0.42532,                0.53922,                0.36566,                0.19194,                0.31544,                0.30288,                0.19277,                0.09982,                 1.9636,                 5.1368,                0.14364,                 2.4691,                   2.54,               0.000406,               0.000406,               0.000406
                      8,                 2.0816,                 5.7502,                0.20072,                 2.3681,                 2.5102,                0.28159,                0.55348,                0.45918,                 0.2142,                0.22175,                0.37223,                0.27657,                0.12099,                 1.9164,                 4.8255,                0.13769,                 2.3458,                 2.4459,               0.000307,               0.000307,               0.000307
                      9,                 2.0249,                 5.5226,                0.20496,                 2.2417,                 2.4534,                0.34678,                0.57025,                0.43481,                0.17978,                0.27939,                0.35243,                0.22806,                0.09821,                 2.0369,                 4.7187,                0.13487,                 2.3024,                 2.4939,               0.000208,               0.000208,               0.000208
                     10,                 1.9501,                 5.2001,                  0.186,                 2.1449,                 2.4002,                0.35578,                0.57829,                0.44392,                0.21882,                0.28231,                0.46285,                0.31825,                0.14529,                 1.8144,                  4.395,                0.12864,                 2.1618,                 2.3184,               0.000109,               0.000109,               0.000109
